employee_id,employee_name,department,team,shift_type,date,login_time,logout_time,status,status_group,duration_minutes,productive,location
EMP001,John Carter,Operations,Account Access,Early,2026-05-10,05:00,13:00,chat,OCC,180,true,Dublin
EMP001,John Carter,Operations,Account Access,Early,2026-05-10,05:00,13:00,available,CFT,120,true,Dublin
EMP001,John Carter,Operations,Account Access,Early,2026-05-10,05:00,13:00,break,SHRINKAGE,20,false,Dublin
EMP001,John Carter,Operations,Account Access,Early,2026-05-10,05:00,13:00,lunch,SHRINKAGE,30,false,Dublin

EMP002,Sarah Wilson,Operations,Account Access,Early,2026-05-10,05:00,13:00,chat,OCC,220,true,Dublin
EMP002,Sarah Wilson,Operations,Account Access,Early,2026-05-10,05:00,13:00,available,CFT,90,true,Dublin
EMP002,Sarah Wilson,Operations,Account Access,Early,2026-05-10,05:00,13:00,break,SHRINKAGE,15,false,Dublin
EMP002,Sarah Wilson,Operations,Account Access,Early,2026-05-10,05:00,13:00,lunch,SHRINKAGE,30,false,Dublin

EMP003,Michael Brown,WFM,Forecasting,Late,2026-05-10,10:00,18:00,email,CFT,240,true,Dublin
EMP003,Michael Brown,WFM,Forecasting,Late,2026-05-10,10:00,18:00,meeting,UTI,60,false,Dublin
EMP003,Michael Brown,WFM,Forecasting,Late,2026-05-10,10:00,18:00,break,SHRINKAGE,20,false,Dublin

EMP004,Emily Davis,Finance,Billing,Early,2026-05-10,06:00,14:00,email,CFT,250,true,Dublin
EMP004,Emily Davis,Finance,Billing,Early,2026-05-10,06:00,14:00,lunch,SHRINKAGE,30,false,Dublin
EMP004,Emily Davis,Finance,Billing,Early,2026-05-10,06:00,14:00,break,SHRINKAGE,20,false,Dublin

EMP005,David Miller,Recruitment,Hiring,Late,2026-05-10,10:00,18:00,available,CFT,200,true,Dublin
EMP005,David Miller,Recruitment,Hiring,Late,2026-05-10,10:00,18:00,meeting,UTI,90,false,Dublin
EMP005,David Miller,Recruitment,Hiring,Late,2026-05-10,10:00,18:00,lunch,SHRINKAGE,30,false,Dublin

EMP006,Sophia Taylor,Operations,Incorrect Disables,Early,2026-05-10,05:00,13:00,chat,OCC,260,true,Dublin
EMP006,Sophia Taylor,Operations,Incorrect Disables,Early,2026-05-10,05:00,13:00,after_contact_work,OCC,40,true,Dublin
EMP006,Sophia Taylor,Operations,Incorrect Disables,Early,2026-05-10,05:00,13:00,break,SHRINKAGE,15,false,Dublin
EMP006,Sophia Taylor,Operations,Incorrect Disables,Early,2026-05-10,05:00,13:00,lunch,SHRINKAGE,30,false,Dublin
